owner_occupancy_key,owner_occupancy_name
1,Owner-occupied as a principal dwelling
2,Owner-occupied as a principal dwelling
3,Owner-occupied as a principal dwelling
4,Not owner-occupied as a principal dwelling
5,Owner-occupied as a principal dwelling
6,Owner-occupied as a principal dwelling
7,Not owner-occupied as a principal dwelling
8,Not owner-occupied as a principal dwelling
9,Owner-occupied as a principal dwelling
10,Not owner-occupied as a principal dwelling
11,Owner-occupied as a principal dwelling
12,Not owner-occupied as a principal dwelling
13,Owner-occupied as a principal dwelling
14,Owner-occupied as a principal dwelling
15,Not owner-occupied as a principal dwelling
16,Owner-occupied as a principal dwelling
17,Owner-occupied as a principal dwelling
18,Owner-occupied as a principal dwelling
19,Owner-occupied as a principal dwelling
20,Owner-occupied as a principal dwelling
21,Owner-occupied as a principal dwelling
22,Owner-occupied as a principal dwelling
23,Owner-occupied as a principal dwelling
24,Owner-occupied as a principal dwelling
25,Owner-occupied as a principal dwelling
26,Owner-occupied as a principal dwelling
27,Owner-occupied as a principal dwelling
28,Owner-occupied as a principal dwelling
29,Owner-occupied as a principal dwelling
30,Owner-occupied as a principal dwelling
31,Owner-occupied as a principal dwelling
32,Owner-occupied as a principal dwelling
33,Owner-occupied as a principal dwelling
34,Owner-occupied as a principal dwelling
35,Owner-occupied as a principal dwelling
36,Owner-occupied as a principal dwelling
37,Owner-occupied as a principal dwelling
38,Owner-occupied as a principal dwelling
39,Owner-occupied as a principal dwelling
40,Owner-occupied as a principal dwelling
41,Owner-occupied as a principal dwelling
42,Owner-occupied as a principal dwelling
43,Owner-occupied as a principal dwelling
44,Owner-occupied as a principal dwelling
45,Owner-occupied as a principal dwelling
46,Owner-occupied as a principal dwelling
47,Owner-occupied as a principal dwelling
48,Owner-occupied as a principal dwelling
49,Owner-occupied as a principal dwelling
50,Owner-occupied as a principal dwelling
51,Owner-occupied as a principal dwelling
52,Owner-occupied as a principal dwelling
53,Owner-occupied as a principal dwelling
54,Owner-occupied as a principal dwelling
55,Not owner-occupied as a principal dwelling
56,Owner-occupied as a principal dwelling
57,Owner-occupied as a principal dwelling
58,Owner-occupied as a principal dwelling
59,Owner-occupied as a principal dwelling
60,Owner-occupied as a principal dwelling
61,Owner-occupied as a principal dwelling
62,Owner-occupied as a principal dwelling
63,Owner-occupied as a principal dwelling
64,Owner-occupied as a principal dwelling
65,Owner-occupied as a principal dwelling
66,Not owner-occupied as a principal dwelling
67,Owner-occupied as a principal dwelling
68,Owner-occupied as a principal dwelling
69,Owner-occupied as a principal dwelling
70,Not owner-occupied as a principal dwelling
71,Owner-occupied as a principal dwelling
72,Not owner-occupied as a principal dwelling
73,Not owner-occupied as a principal dwelling
74,Owner-occupied as a principal dwelling
75,Owner-occupied as a principal dwelling
76,Owner-occupied as a principal dwelling
77,Not owner-occupied as a principal dwelling
78,Owner-occupied as a principal dwelling
79,Owner-occupied as a principal dwelling
80,Owner-occupied as a principal dwelling
81,Not owner-occupied as a principal dwelling
82,Owner-occupied as a principal dwelling
83,Owner-occupied as a principal dwelling
84,Owner-occupied as a principal dwelling
85,Owner-occupied as a principal dwelling
86,Owner-occupied as a principal dwelling
87,Owner-occupied as a principal dwelling
88,Owner-occupied as a principal dwelling
89,Owner-occupied as a principal dwelling
90,Owner-occupied as a principal dwelling
91,Owner-occupied as a principal dwelling
92,Owner-occupied as a principal dwelling
93,Owner-occupied as a principal dwelling
94,Owner-occupied as a principal dwelling
95,Owner-occupied as a principal dwelling
96,Owner-occupied as a principal dwelling
97,Owner-occupied as a principal dwelling
98,Owner-occupied as a principal dwelling
99,Owner-occupied as a principal dwelling
100,Owner-occupied as a principal dwelling
101,Owner-occupied as a principal dwelling
102,Owner-occupied as a principal dwelling
103,Owner-occupied as a principal dwelling
104,Owner-occupied as a principal dwelling
105,Owner-occupied as a principal dwelling
106,Owner-occupied as a principal dwelling
107,Owner-occupied as a principal dwelling
108,Owner-occupied as a principal dwelling
109,Owner-occupied as a principal dwelling
110,Not owner-occupied as a principal dwelling
111,Not owner-occupied as a principal dwelling
112,Owner-occupied as a principal dwelling
113,Owner-occupied as a principal dwelling
114,Owner-occupied as a principal dwelling
115,Owner-occupied as a principal dwelling
116,Owner-occupied as a principal dwelling
117,Owner-occupied as a principal dwelling
118,Not owner-occupied as a principal dwelling
119,Owner-occupied as a principal dwelling
120,Owner-occupied as a principal dwelling
121,Owner-occupied as a principal dwelling
122,Owner-occupied as a principal dwelling
123,Owner-occupied as a principal dwelling
124,Owner-occupied as a principal dwelling
125,Owner-occupied as a principal dwelling
126,Owner-occupied as a principal dwelling
127,Owner-occupied as a principal dwelling
128,Owner-occupied as a principal dwelling
129,Owner-occupied as a principal dwelling
130,Owner-occupied as a principal dwelling
131,Owner-occupied as a principal dwelling
132,Owner-occupied as a principal dwelling
133,Not owner-occupied as a principal dwelling
134,Owner-occupied as a principal dwelling
135,Owner-occupied as a principal dwelling
136,Owner-occupied as a principal dwelling
137,Owner-occupied as a principal dwelling
138,Owner-occupied as a principal dwelling
139,Owner-occupied as a principal dwelling
140,Owner-occupied as a principal dwelling
141,Owner-occupied as a principal dwelling
142,Owner-occupied as a principal dwelling
143,Owner-occupied as a principal dwelling
144,Owner-occupied as a principal dwelling
145,Owner-occupied as a principal dwelling
146,Owner-occupied as a principal dwelling
147,Owner-occupied as a principal dwelling
148,Owner-occupied as a principal dwelling
149,Owner-occupied as a principal dwelling
150,Not owner-occupied as a principal dwelling
151,Owner-occupied as a principal dwelling
152,Owner-occupied as a principal dwelling
153,Owner-occupied as a principal dwelling
154,Owner-occupied as a principal dwelling
155,Owner-occupied as a principal dwelling
156,Owner-occupied as a principal dwelling
157,Owner-occupied as a principal dwelling
158,Owner-occupied as a principal dwelling
159,Owner-occupied as a principal dwelling
160,Owner-occupied as a principal dwelling
161,Owner-occupied as a principal dwelling
162,Owner-occupied as a principal dwelling
163,Owner-occupied as a principal dwelling
164,Owner-occupied as a principal dwelling
165,Owner-occupied as a principal dwelling
166,Owner-occupied as a principal dwelling
167,Owner-occupied as a principal dwelling
168,Owner-occupied as a principal dwelling
169,Owner-occupied as a principal dwelling
170,Owner-occupied as a principal dwelling
171,Owner-occupied as a principal dwelling
172,Owner-occupied as a principal dwelling
173,Owner-occupied as a principal dwelling
174,Owner-occupied as a principal dwelling
175,Owner-occupied as a principal dwelling
176,Owner-occupied as a principal dwelling
177,Owner-occupied as a principal dwelling
178,Owner-occupied as a principal dwelling
179,Owner-occupied as a principal dwelling
180,Not owner-occupied as a principal dwelling
181,Owner-occupied as a principal dwelling
182,Owner-occupied as a principal dwelling
183,Owner-occupied as a principal dwelling
184,Owner-occupied as a principal dwelling
185,Owner-occupied as a principal dwelling
186,Owner-occupied as a principal dwelling
187,Owner-occupied as a principal dwelling
188,Owner-occupied as a principal dwelling
189,Owner-occupied as a principal dwelling
190,Owner-occupied as a principal dwelling
191,Owner-occupied as a principal dwelling
192,Not owner-occupied as a principal dwelling
193,Owner-occupied as a principal dwelling
194,Owner-occupied as a principal dwelling
195,Owner-occupied as a principal dwelling
196,Owner-occupied as a principal dwelling
197,Not owner-occupied as a principal dwelling
198,Owner-occupied as a principal dwelling
199,Owner-occupied as a principal dwelling
200,Owner-occupied as a principal dwelling
201,Owner-occupied as a principal dwelling
202,Owner-occupied as a principal dwelling
203,Owner-occupied as a principal dwelling
204,Owner-occupied as a principal dwelling
205,Owner-occupied as a principal dwelling
206,Owner-occupied as a principal dwelling
207,Not owner-occupied as a principal dwelling
208,Owner-occupied as a principal dwelling
209,Owner-occupied as a principal dwelling
210,Owner-occupied as a principal dwelling
211,Owner-occupied as a principal dwelling
212,Owner-occupied as a principal dwelling
