respondent_id,state_name
451965,Pennsylvania
5892,Washington
451965,Utah
5912,Missouri
92-0164378,Illinois
7197000003,Michigan
451965,Florida
5892,California
451965,California
47-0834560,Wisconsin
471809999,Missouri
92-0164378,Arkansas
01-0726495,Texas
54-1094297,Colorado
12072,Florida
7257500009,Texas
5892,New York
04-3660901,Florida
66157,California
5892,Pennsylvania
46-3435079,Florida
451965,Minnesota
5913,New York
7197000003,Texas
13583,Michigan
5892,Arkansas
26-0021318,California
04-3660901,Pennsylvania
451965,Texas
04-3660901,Wisconsin
339858,Missouri
5892,Idaho
7197000003,Pennsylvania
92-0164378,Massachusetts
451965,Pennsylvania
66157,Virginia
146672,Utah
5892,Texas
451965,Illinois
66157,North Carolina
12072,Missouri
619877,Kentucky
7197000003,California
5892,Iowa
112837,Texas
46-3435079,Michigan
675332,Michigan
04-3660901,Connecticut
68-0309242,Ohio
5892,Pennsylvania
451965,Vermont
04-3660901,West Virginia
7197000003,Illinois
7197000003,California
451965,Texas
3130,Florida
41-1795868,Montana
619877,Missouri
619877,Michigan
5924,Texas
04-3660901,Missouri
46-3435079,Kansas
92-0164378,Illinois
22-3039688,California
146672,Colorado
2888798,Idaho
12072,California
5892,Florida
451965,Nebraska
26-0595342,North Carolina
451965,Pennsylvania
76-0236067,South Carolina
92-0164378,Pennsylvania
5892,California
3027509990,Wisconsin
62-1532940,Michigan
619877,Pennsylvania
04-3660901,Ohio
451965,California
5892,Texas
04-3660901,New York
7197000003,Texas
471809999,Florida
04-3660901,Pennsylvania
04-3660901,Colorado
5912,Missouri
92-0164378,Michigan
33-0941669,Michigan
22-3887207,Wisconsin
4186591,Nebraska
471809999,Michigan
5892,New York
3027509990,Texas
76-0236067,Georgia
04-3660901,Pennsylvania
7197000003,Texas
471809999,California
5892,Massachusetts
04-3660901,Texas
41-1795868,Texas
619877,Missouri
451965,Florida
26-4599244,Florida
5892,Arkansas
5912,California
4186591,Kentucky
04-3660901,New York
7197000003,Kentucky
451965,Pennsylvania
5892,Missouri
3027509990,Florida
5892,Florida
5913,Utah
7197000003,Virginia
451965,Missouri
5892,Kansas
451965,California
7197000003,Missouri
04-3660901,New York
7197000003,Wisconsin
7197000003,Wisconsin
5892,Massachusetts
04-3660901,Connecticut
04-3660901,Pennsylvania
451965,California
7197000003,Michigan
